id,Row#,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds,yield
15,740.0,25.0,0.5,0.38,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.58492102,0.495006371,41.71941614,7411.17457
16,19.0,37.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.283055065,0.358821427,26.10117938,2625.26916
17,681.0,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.540082008,0.464066853,37.74750888,6515.30587
18,706.0,25.0,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.498696418,0.451036893,37.52274536,5750.88107
19,63.0,12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.477940817,0.423861178,33.4416065,5496.08506
20,761.0,20.0,0.537,0.117,0.409,0.058,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.06,0.396762494,0.397617195,30.05252128,4057.55521
21,468.0,25.0,0.25,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.350136522,0.388632634,28.41793063,3501.17992
22,621.0,25.0,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.460126356,0.407126353,33.84707944,5649.03716
23,645.0,25.0,0.5,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.350992769,0.388821721,29.74258268,3511.5379
24,563.0,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.460126356,0.433668483,34.33876109,5381.27266
25,661.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.460205797,0.431122059,33.94201411,4865.39997
26,611.0,25.0,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.53434503,0.432722017,34.5252582,6994.24801
27,582.0,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.424574228,0.423927032,33.59602928,4945.79443
28,332.0,12.5,0.25,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.517721232,0.454160581,36.92483932,6702.78038
29,604.0,25.0,0.5,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.498715892,0.442865602,35.51753863,6097.44285
30,6.0,37.5,0.75,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.246568004,0.352186419,26.28235597,2379.90521
31,489.0,25.0,0.5,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.544066693,0.463982188,36.9753139,6822.97163
32,592.0,25.0,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.462013355,0.435584965,34.05053194,5322.84043
33,536.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.466109593,0.407609786,32.69048728,5492.81699
34,66.0,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.511413154,0.462697311,37.54210856,6236.70711
35,189.0,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.578556842,0.488615886,40.77346165,7163.9441
36,202.0,12.5,0.25,0.25,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.432911682,0.408038131,31.90931611,4673.38052
37,63.0,12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.482854142,0.445134287,35.02172542,5535.05665
38,57.0,12.5,0.25,0.25,0.25,0.38,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.41545835,0.405525072,32.79766623,4684.89321
39,410.0,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.49154744,0.446575791,35.77113923,5898.01573
40,4.0,25.0,0.5,0.25,0.25,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.495006371,0.44252903,35.18441169,5665.2196
41,577.0,25.0,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.58249065,0.484771683,40.55501923,7301.10622
42,264.0,12.5,0.25,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.538550337,0.438612787,37.3001964,6620.09877
43,744.0,20.0,0.537,0.117,0.409,0.058,94.6,57.2,79.0,68.2,33.0,55.9,3.77,0.06,0.380852104,0.384432592,29.08514833,3968.33018
44,269.0,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.533820778,0.464561582,38.54027918,6746.4546
45,42.0,25.0,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.450822025,0.420598245,32.9240208,4572.12637
46,167.0,12.5,0.25,0.25,0.38,0.38,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.567975637,0.437062839,35.50564628,6696.23571
47,169.0,12.5,0.25,0.25,0.38,0.38,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.47973321,0.437265704,34.16394425,5154.97591
48,489.0,25.0,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.494677622,0.429710486,33.99420814,5777.3754
49,74.0,12.5,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.488485703,0.424728104,34.87061011,5665.2196
50,561.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.583378727,0.504526655,41.72079694,7019.69438
51,250.0,12.5,0.25,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.50476135,0.453649741,36.83081961,6013.40759
52,298.0,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.509782413,0.448597173,36.95787336,7016.89385
53,645.0,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.528899809,0.471665153,40.54647951,7417.81497
54,307.0,12.5,0.25,0.25,0.75,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.482854142,0.445474763,33.12590428,5569.13925
55,421.0,12.5,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.594364445,0.491813116,41.63168621,7617.39589
56,133.0,12.5,0.25,0.25,0.38,0.25,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.442789316,0.425220363,33.97729329,5063.85109
57,539.0,25.0,0.5,0.25,0.5,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.408178454,0.403128905,31.10253472,4225.96131
58,526.0,25.0,0.5,0.25,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.572725923,0.492641907,41.54582317,7714.3231
59,541.0,25.0,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.49154744,0.446912521,35.18597077,5911.49359
60,384.0,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.370946044,0.393118491,29.80324762,3708.20502
61,262.0,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.593029845,0.492693356,41.54582317,7517.44077
62,421.0,12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.584016198,0.486112101,40.33593654,7298.0026
63,696.0,25.0,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.498793068,0.433844688,35.20741312,6808.26361
64,137.0,12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.532704207,0.445587455,36.03604274,6920.08427
65,608.0,25.0,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.536899811,0.437265704,38.0603745,6663.00068
66,604.0,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.527308548,0.464528369,37.07093657,6320.96112
67,403.0,12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.612974151,0.503636289,42.13008169,8570.91353
68,534.0,25.0,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.53434503,0.437354261,37.7513957,6614.21931
69,584.0,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.508104246,0.453507667,36.6742427,5729.71505
70,718.0,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.583697575,0.488112101,40.57450377,7163.9441
71,266.0,12.5,0.25,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.476178181,0.423246366,33.23244939,5453.99382
72,351.0,12.5,0.25,0.25,0.75,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.587319779,0.497740882,41.73066669,7411.17457
73,652.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.506346175,0.455880077,36.55432716,6072.83443
74,346.0,12.5,0.25,0.25,0.75,0.63,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.552129108,0.476588872,39.77772061,7290.10652
75,447.0,12.5,0.25,0.25,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.459087683,0.423763672,35.90984596,5811.21147
76,477.0,25.0,0.25,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.346410766,0.379871916,28.84228529,3496.35236
77,693.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.579981861,0.490106144,41.97181605,8711.20896
78,270.0,12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.488047919,0.438875462,35.18441169,5529.06614
79,582.0,25.0,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.507748656,0.450498441,36.97636061,6493.47253
80,282.0,12.5,0.25,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.521906846,0.435584965,36.69768447,6520.8976
81,445.0,12.5,0.25,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.626280739,0.516147572,43.95536146,8173.5891
82,489.0,12.5,0.25,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.566413581,0.488527456,39.8226933,7416.70776
83,360.0,12.5,0.25,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.612222602,0.508018854,42.50852244,7914.17118
84,416.0,12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.597060641,0.491713116,41.72079694,7483.73632
85,654.0,25.0,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.62809913,0.511298321,43.93700206,8104.93497
86,62.0,25.0,0.25,0.25,0.25,0.25,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.509933842,0.455065287,36.30184732,6276.41054
87,711.0,25.0,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.546259537,0.459101737,37.75813832,6979.32479
88,686.0,25.0,0.5,0.38,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.398218446,0.391441876,30.057704,4278.76321
89,693.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.573204799,0.488638858,39.82088488,6880.7759
90,590.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.511522719,0.46389552,37.62977375,6515.26145
91,673.0,25.0,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.489823352,0.445497348,34.46756739,5322.84043
92,622.0,25.0,0.5,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.548724554,0.488527456,39.46947609,7163.9441
93,752.0,25.0,0.5,0.38,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.467156853,0.435203234,34.02922281,5128.16351
94,103.0,12.5,0.25,0.25,0.25,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.581744319,0.490020262,41.92156882,7161.9619
95,735.0,25.0,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.505619046,0.453001484,36.3572405,6255.89064
96,532.0,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.432911682,0.431201835,34.01445364,5128.16351
97,567.0,25.0,0.5,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.349908358,0.395893563,29.97539813,3501.17992
98,503.0,25.0,0.5,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.482854142,0.445497348,34.43568098,5718.40817
99,595.0,25.0,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.490320807,0.424902006,34.79781929,5919.43076
100,547.0,25.0,0.5,0.25,0.5,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.502979625,0.457845739,36.80503364,5684.14351
101,464.0,25.0,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.429210588,0.372179064,31.10924166,4503.16186
102,405.0,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.606599706,0.502740901,42.11266981,7829.47294
103,458.0,25.0,0.5,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.547743879,0.464892019,37.67828481,6465.37205
104,5.0,37.5,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.442626748,0.423927032,33.53267475,4813.45285
105,71.0,12.5,0.25,0.25,0.25,0.38,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.496598201,0.442952601,35.77113923,5501.87808
106,106.0,12.5,0.25,0.25,0.25,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1.0,0.1,0.53255682,0.431201835,36.31114278,6920.08427
107,273.0,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.58492102,0.488638858,40.18721608,6589.27898
108,636.0,25.0,0.5,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.483249032,0.436777234,34.0430221,5399.86113
109,545.0,25.0,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.451103585,0.403129918,31.08154655,4572.12637
110,635.0,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.490965919,0.424657113,35.78105469,5602.02293
111,294.0,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.509158377,0.452484359,36.97636061,6098.11317
112,669.0,25.0,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.482854142,0.445308404,35.48354994,5772.91016
113,37.0,25.0,0.25,0.25,0.25,0.38,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.32833671,0.32833671,28.2486781,3471.19214
114,732.0,20.0,0.537,0.117,0.409,0.058,86.0,52.0,71.9,62.0,30.0,50.8,3.77,0.06,0.37680364,0.401236607,30.79374092,3712.99786
115,663.0,25.0,0.5,0.38,0.38,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.572046486,0.481173502,39.09961353,7517.44077
116,522.0,25.0,0.5,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.498696418,0.447536765,35.49496278,6020.87569
117,591.0,25.0,0.5,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.490016595,0.460510431,35.18441169,5639.4452
118,466.0,25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.53427161,0.459383737,37.7247238,6281.91711
119,616.0,25.0,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.455384537,0.401804621,33.08835541,5695.56442
120,477.0,12.5,0.25,0.25,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.596551315,0.491614051,40.92210139,7071.61532
121,301.0,12.5,0.25,0.25,0.63,0.75,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.41985138,0.409907136,31.39456852,4546.78674
122,765.0,25.0,0.5,0.38,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.509158377,0.459464772,36.81018683,6752.17704
123,596.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.576602444,0.494588902,40.56148952,7022.18973
124,625.0,25.0,0.5,0.25,0.75,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.621810512,0.513721618,43.17615175,8562.37077
125,563.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.350992769,0.383377956,29.37060684,3720.71159
126,106.0,12.5,0.25,0.25,0.25,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.53255682,0.445238125,36.9753139,6671.07264
127,574.0,25.0,0.5,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.509158377,0.453994528,36.61704886,6187.95188
128,16.0,37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.320564713,0.415971082,33.84707944,2384.72892
129,584.0,25.0,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.514086408,0.45807618,37.74750888,6102.76282
130,238.0,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.527742687,0.466492143,37.3001964,6528.79888
131,466.0,25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.58272491,0.497978979,41.05919357,7714.3231
132,198.0,12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.573204799,0.484307576,39.85898134,7222.00462
133,269.0,12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.465538066,0.403128905,32.60317761,5225.16307
134,609.0,25.0,0.5,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.506987743,0.458530485,36.6742427,6093.31527
135,239.0,12.5,0.25,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.483805569,0.445462765,35.64822051,5524.14541
136,282.0,12.5,0.25,0.25,0.63,0.63,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.58704878,0.491124144,40.26540842,7117.95038
137,675.0,25.0,0.5,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.517169415,0.456752669,36.55432716,6493.63712
138,636.0,25.0,0.5,0.25,0.75,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.523845567,0.465157167,37.32322478,6320.96112
139,136.0,12.5,0.25,0.25,0.38,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.449195313,0.437922725,33.23980604,4930.61903
140,134.0,12.5,0.25,0.25,0.38,0.5,94.6,57.2,79.0,68.2,33.0,55.9,16.0,0.26,0.538604193,0.44959908,36.24969463,6808.26361
141,327.0,12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.480072982,0.411546877,33.31223192,5527.42503
142,48.0,25.0,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.520587192,0.460796109,36.09379556,6180.95142
143,559.0,25.0,0.5,0.25,0.63,0.5,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.394441163,0.393781726,29.80324762,4281.52619
144,458.0,25.0,0.5,0.25,0.38,0.5,86.0,52.0,71.9,62.0,30.0,50.8,34.0,0.56,0.378917495,0.391441876,30.39027791,3983.09785
145,281.0,12.5,0.25,0.25,0.63,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.514086408,0.451986086,36.82658691,6093.31527
146,485.0,25.0,0.5,0.25,0.38,0.38,77.4,46.8,64.7,55.8,27.0,45.8,1.0,0.1,0.494906594,0.442111609,35.98855463,5628.71053
147,576.0,25.0,0.5,0.25,0.63,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.496065655,0.446575791,35.71826335,5674.02852
148,393.0,12.5,0.25,0.38,0.38,0.63,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.565324698,0.486003684,39.38136072,6539.11085
149,477.0,25.0,0.5,0.25,0.38,0.63,94.6,57.2,79.0,68.2,33.0,55.9,24.0,0.39,0.464411249,0.411546877,33.3406292,5777.3754
150,403.0,12.5,0.25,0.38,0.5,0.5,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.538371386,0.479866804,38.48035199,6575.59267
151,235.0,12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27.0,45.8,24.0,0.39,0.596753394,0.494864674,41.44744954,7434.34904
152,238.0,12.5,0.25,0.25,0.5,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.55135975,0.47767525,38.64034468,7517.44077
153,53.0,25.0,0.25,0.25,0.25,0.25,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.320417393,0.376874346,27.3454535,2946.92602
154,515.0,25.0,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.606599706,0.507221731,42.93997745,7732.22522
155,672.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.531691969,0.449871489,36.46620322,6180.95142
156,451.0,12.5,0.25,0.38,0.63,0.75,86.0,52.0,71.9,62.0,30.0,50.8,16.0,0.26,0.626397463,0.516063505,43.00334146,8489.69192
157,678.0,25.0,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34.0,0.56,0.449875425,0.413096652,31.02327724,5811.21147
158,404.0,12.5,0.25,0.38,0.38,0.63,86.0,52.0,71.9,62.0,30.0,50.8,1.0,0.1,0.589306067,0.486003684,40.55501923,7451.72563
159,584.0,25.0,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27.0,45.8,34.0,0.56,0.350874635,0.388821721,29.90851804,3436.49354
160,691.0,25.0,0.5,0.38,0.38,0.75,86.0,52.0,71.9,62.0,30.0,50.8,24.0,0.39,0.464411249,0.428771298,33.44747085,5333.87334
161,546.0,25.0,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.450102564,0.401506621,32.46088718,5330.63134
162,181.0,12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24.0,0.39,0.451291733,0.39604355,31.43977899,5639.4452
163,123.0,12.5,0.25,0.25,0.25,0.75,77.4,46.8,64.7,55.8,27.0,45.8,16.0,0.26,0.582954458,0.487427885,39.49160012,7690.1749
164,440.0,12.5,0.25,0.38,0.5,0.5,94.6,57.2,79.0,68.2,33.0,55.9,1.0,0.1,0.572046486,0.485791513,39.28816181,7174.6649
165,524.0,25.0,0.5,0.25,0.5,0.63,94.6,57.2,79.0,68.2,33.0,55.9,34.0,0.56,0.488014406,0.447536765,35.28592597,5720.72316
166,683.0,25.0,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16.0,0.26,0.558537787,0.455453173,38.45252155,7235.77564
